key,en,zh_CN,es,fr,de
NameLabelTabTitle,Name Label,名称标签,,,Namenstext
Character Leave,Character Leave,角色离开,Personaje Sale,,Charakter verlassen
Extra Font,Extra Font,额外字体,Extra Fuente,,Zusatzschrift
Autofocus choice buttons,Autofocus choice buttons,自动对焦选择按钮,,,Optionen automatisch fokussieren
Scale,Scale,尺度,Escala,Échelle,Größe
Canvas layer:,Canvas layer:,帆布层:,Canvas layer:,,Canvas Layer:
CustomScenePreview,[!] Can't show previews of custom scenes.,[!] 无法显示自定义场景的预览.,,,Szenen können nicht angezeigt werden.
Position,Position,位置,Posicion,Position,Position
Change Timeline,Change Timeline,改变时间线,Cambiar Secuencia,,Zeitlinie wechseln
Remove Character,Remove Character,移除角色,,,Charakter löschen
Saving,Game saving,游戏保存中,,,Speichern im Spiel
,,,,,
Default bus for Text event audio,Default bus for Text event audio,文本事件音频的默认总线,Audio bus predeterminado para eventos de texto,,Standard Audio-Bus für Text Ereignisse
Speed (bigger = slower),Speed (bigger = slower),速度 (更大=更慢),Velocidad (a mayor número más lento),,Geschwindigkeit
Regular Font,Regular Font,普通字体,Normal,,Normal
RemoveFolderPopupTitle,Be sure you want to delete this folder!,请确定你要删除这个文件夹!,"Por favor, Confirma...",,Ordner wirklich löschen?
Stretch background images ,Stretch background images,拉伸背景图像,,,Hintergrundbilder strecken
Typing Sound Effects,Typing Sound Effects,'打字'音效,Sonido Del Texto,,Tipp-Geräusche
Audio,Audio,音频,,,Audio
seconds,seconds,秒,segundos,secondes,Sekunden
Default action key,Default action key,默认动作按键,Tecla de acción predeterminada,,Standard Aktion
File:,File:,文件:,Archivo:,,Datei
Use Custom Buttons,Use Custom Buttons,使用自定义按钮,Usar botones propios,,Benutzerdefinierte Knöpfe
Show,Show,显示,Mostrar,Afficher,Anzeigen
Description:,Description:,描述:,Descripción:,,Beschreibung:
Allow interrupt,Allow interrupt,允许中断,Permitir interrumpir,,Unterbrechen
Edit Definitions File,Edit Definitions File,编辑定义文件,,,Definitions-Datei bearbeiten
,,,,,
Timeline,Timeline,时间线,Secuencia,Chronologie,Zeitlinie
Input,Input,输入,,,Eingabe
Delete Folder,Delete Folder,删除文件夹,,,Ordner löschen
DeleteResourceText,"Are you sure you want to remove this [resource]? 
 (Can't be restored)","是否确实要删除此 [resource]? 
 (无法还原)",,,"Sind Sie sicher, dass Sie diese/s/n [resource] löschen wollen? 
 (Kann nicht wiederhergestellt werden)"
Enable choice options after,Enable choice options after,启用选择选项后,Habilitar las opciones después de,,Aktiviere Optionen nach
,,,,,
